date,year,location,work,concert_composers,instrument,performers
1943-01-07,1943,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 1 in g-Moll, op. 26",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Max Bruch;,violin,Rudolf Moralt;Wolfgang Poduschka;
1943-03-12,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Johann Sebastian Bach;Ludwig van Beethoven;Johannes Brahms;,violin,Franz Mairecker;Willi Boskovsky;
1943-03-12,1943,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johann Sebastian Bach;Ludwig van Beethoven;Johannes Brahms;,violin,Franz Mairecker;Willi Boskovsky;
1943-05-28,1943,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Antonín Dvořák;,violin,Oswald Kabasta;Wolfgang Schneiderhan;
1943-05-28,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Antonín Dvořák;,violin,Oswald Kabasta;Wolfgang Schneiderhan;
1943-05-28,1943,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Antonín Dvořák;,violin,Oswald Kabasta;Wolfgang Schneiderhan;
1943-05-30,1943,"Krupptheater, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Joseph Haydn;Wolfgang Amadeus Mozart;Franz Schubert;Ludwig van Beethoven;,violin,Clemens Krauss;Wolfgang Schneiderhan;
1943-08-28,1943,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Joseph Haydn;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Clemens Krauss;Wolfgang Schneiderhan;
1943-09-08,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;,violin,Karl Böhm;Wolfgang Schneiderhan;Richard Krotschak;
1943-10-15,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Richard Krotschak;Wolfgang Schneiderhan;
1943-10-16,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Wolfgang Schneiderhan;Richard Krotschak;
1943-10-17,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Richard Krotschak;Wolfgang Schneiderhan;
1943-12-04,1943,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Franz Schmidt;,violin,Hans Knappertsbusch;Willi Boskovsky;
1943-12-05,1943,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Franz Schmidt;,violin,Hans Knappertsbusch;Willi Boskovsky;
1943-12-06,1943,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Franz Schmidt;,violin,Hans Knappertsbusch;Willi Boskovsky;
1944-03-28,1944,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;,violin,Karl Böhm;Wolfgang Schneiderhan;
1944-04-21,1944,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Joseph Haydn;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Clemens Krauss;Walter Barylli;
1944-04-22,1944,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Joseph Haydn;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Clemens Krauss;Walter Barylli;
1944-04-23,1944,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Joseph Haydn;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Clemens Krauss;Walter Barylli;
1944-09-16,1944,"Vienna State Opera, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Wolfgang Schneiderhan;
1944-09-17,1944,"Vienna State Opera, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Wolfgang Schneiderhan;
1944-10-12,1944,"Stiftskirche, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Wilhelm Jerger;Willi Boskovsky;
1944-10-23,1944,"Musikverein, Vienna, Austria",Concerto Gregoriano f. Viol. u. Orch.,Ottorino Respighi;,violin,Oswald Kabasta;Paul Richartz;
1944-11-22,1944,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Ludwig van Beethoven;Wolfgang Amadeus Mozart;César Franck;,violin,Hendrik Diehls;Wolfgang Schneiderhan;
1945-10-19,1945,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johannes Brahms;,violin,Josef Krips;Wolfgang Schneiderhan;
1945-10-19,1945,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johannes Brahms;,violin,Josef Krips;Wolfgang Schneiderhan;
1945-10-19,1945,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johannes Brahms;,violin,Josef Krips;Wolfgang Schneiderhan;
1945-11-12,1945,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Antonín Dvořák;,violin,Josef Krips;Willi Boskovsky;
1945-11-12,1945,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Antonín Dvořák;,violin,Josef Krips;Willi Boskovsky;
1945-11-12,1945,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Antonín Dvořák;,violin,Josef Krips;Willi Boskovsky;
1946-03-10,1946,"Schönbrunn Palace, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Ludwig van Beethoven;Peter Iljitsch Tschaikowsky;Ludwig van Beethoven;,violin,Rudolf Moralt;Willi Boskovsky;
1946-03-25,1946,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johann Sebastian Bach;Johannes Brahms;Ludwig van Beethoven;,violin,Josef Krips;Richard Krotschak;Willi Boskovsky;
1946-03-25,1946,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Johann Sebastian Bach;Johannes Brahms;Ludwig van Beethoven;,violin,Josef Krips;Richard Krotschak;Willi Boskovsky;
1946-04-01,1946,"Rex Theater, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Frederick Fall;Anton Fietz;
1946-04-23,1946,"Musikverein, Vienna, Austria","Violin-Konzert a-Moll, op. 82",Alexander Glazunow;Ludwig van Beethoven;Karl Goldmark;,violin,Fritz Sedlak;Jaroslav Suchy;
1946-04-23,1946,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Alexander Glazunow;Ludwig van Beethoven;Karl Goldmark;,violin,Fritz Sedlak;Jaroslav Suchy;
1946-05-05,1946,"Schönbrunn Palace, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Fritz Sedlak;Willi Boskovsky;
1946-12-12,1946,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Johannes Brahms;,violin,Rudolf Moralt;Willi Boskovsky;
1946-12-12,1946,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Johannes Brahms;,violin,Rudolf Moralt;Willi Boskovsky;
1946-12-12,1946,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Johannes Brahms;,violin,Rudolf Moralt;Willi Boskovsky;
1947-02-01,1947,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Richard Wagner;Johannes Brahms;Dmitri Schostakowitsch;,violin,Josef Krips;Ricardo (Richard) Odnoposoff;
1947-02-02,1947,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Richard Wagner;Johannes Brahms;Dmitri Schostakowitsch;,violin,Josef Krips;Ricardo (Richard) Odnoposoff;
1947-02-25,1947,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Wolfgang Amadeus Mozart;Johann Sebastian Bach;Peter Iljitsch Tschaikowsky;,violin,Rudolf Moralt;Walter Barylli;
1947-04-26,1947,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Hans Knappertsbusch;Ginette Neveu;
1947-04-27,1947,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Hans Knappertsbusch;Ginette Neveu;
1947-05-07,1947,"Schönbrunn Palace, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Richard Wagner;Ludwig van Beethoven;Joseph Haydn;,violin,Hans Knappertsbusch;Willi Boskovsky;
1947-06-04,1947,"Musikverein, Vienna, Austria","Concerto for Violin in B minor, op. 61",Edward Elgar;Peter Iljitsch Tschaikowsky;,violin,Josef Krips;Wolfgang Schneiderhan;
1947-06-04,1947,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Edward Elgar;Peter Iljitsch Tschaikowsky;,violin,Josef Krips;Wolfgang Schneiderhan;
1947-08-13,1947,"Small Festival Hall, ","Concerto for Violin in D Major, op. 77",Paul Hindemith;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Lord Yehudi Menuhin;
1947-11-08,1947,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Felix Mendelssohn-Bartholdy;Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;,violin,Wilhelm Furtwängler;Wolfgang Schneiderhan;
1947-11-09,1947,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Felix Mendelssohn-Bartholdy;Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;,violin,Wilhelm Furtwängler;Wolfgang Schneiderhan;
1948-02-03,1948,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;William Walton;Antonín Dvořák;,violin,Rudolf Moralt;Carl Johannis;
1948-02-03,1948,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Wolfgang Amadeus Mozart;William Walton;Antonín Dvořák;,violin,Rudolf Moralt;Carl Johannis;
1948-03-04,1948,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Giovanni B. Viotti;Ludwig van Beethoven;Antonín Dvořák;,violin,Josef Krips;Wolfgang Schneiderhan;
1948-03-04,1948,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Giovanni B. Viotti;Ludwig van Beethoven;Antonín Dvořák;,violin,Josef Krips;Wolfgang Schneiderhan;
1948-04-17,1948,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Robert Schumann;,violin,Herbert von Karajan;Ginette Neveu;
1948-04-18,1948,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Robert Schumann;,violin,Herbert von Karajan;Ginette Neveu;
1948-10-03,1948,"Royal Albert Hall, London, England","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Wilhelm Furtwängler;Lord Yehudi Menuhin;
1948-11-21,1948,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Franz Schubert;Johann Strauß II.;Josef Strauß;Johann Strauß I.;Eduard Strauß;Johann Strauß II.;Johann Strauß I.;,violin,Felix Prohaska;Walter Barylli;
1949-03-15,1949,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Johann Sebastian Bach;Ludwig van Beethoven;Peter Iljitsch Tschaikowsky;,violin,Josef Krips;Wolfgang Schneiderhan;
1949-03-15,1949,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Johann Sebastian Bach;Ludwig van Beethoven;Peter Iljitsch Tschaikowsky;,violin,Josef Krips;Wolfgang Schneiderhan;
1949-09-29,1949,"Royal Albert Hall, London, England","Concerto for Violin in E minor, op. 64",Richard Strauss;Felix Mendelssohn-Bartholdy;Peter Iljitsch Tschaikowsky;,violin,Wilhelm Furtwängler;Lord Yehudi Menuhin;
1949-10-04,1949,"Royal Albert Hall, London, England","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Lord Yehudi Menuhin;
1950-06-06,1950,"Musikverein, Vienna, Austria","Konzert D-Dur f. Klavier, Flöte und Violine mit Begleitung",Johann Sebastian Bach;Johann Sebastian Bach;Johann Sebastian Bach;Johann Sebastian Bach;,violin,Anton Lippe;Lord Yehudi Menuhin;Lord Yehudi Menuhin;Josef Niedermayr;Alfred Poell;Julius Patzak;Alois Forer;Louis Kentner;None;
1950-08-01,1950,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Karl Böhm;Wolfgang Schneiderhan;
1950-10-16,1950,"Stadthalle Heidelberg, ","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Franz Schubert;Ludwig van Beethoven;Richard Strauss;,violin,Wilhelm Furtwängler;Willi Boskovsky;
1952-01-26,1952,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Emanuel Brabec;Willi Boskovsky;
1952-01-27,1952,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Willi Boskovsky;Emanuel Brabec;
1952-01-28,1952,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Willi Boskovsky;Emanuel Brabec;
1952-10-11,1952,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Ludwig van Beethoven;Max Reger;,violin,Volkmar Andreae;Felicitas Karrer;Emanuel Brabec;Willi Boskovsky;
1952-11-05,1952,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Joseph Haydn;Wolfgang Amadeus Mozart;Johannes Brahms;Emil Nikolaus von Reznicek;,violin,Clemens Krauss;Willi Boskovsky;
1953-06-06,1953,"Theater an der Wien, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;,violin,Karl Böhm;Wolfgang Schneiderhan;
1953-09-11,1953,"Usher Hall, ","Konzert für Violine Nr. 2 in H-Dur, BB 117",Richard Strauss;Béla Bartók;Johannes Brahms;,violin,Wilhelm Furtwängler;Lord Yehudi Menuhin;
1954-02-13,1954,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Antonín Dvořák;Peter Iljitsch Tschaikowsky;Jean Sibelius;,violin,Tauno Hannikainen;Miriam Solovieff;
1955-01-22,1955,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johann Sebastian Bach;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-01-23,1955,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johann Sebastian Bach;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-01-24,1955,"Victoria Hall, Geneva, Switzerland","Concerto for Violin and Violoncello in A Minor, op. 102",Carl Maria von Weber;Johannes Brahms;Franz Schubert;,violin,Rafael Kubelik;Willi Boskovsky;Emanuel Brabec;
1955-01-25,1955,"University Freiburg, ","Concerto for Violin and Violoncello in A Minor, op. 102",Paul Hindemith;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Willi Boskovsky;Emanuel Brabec;
1955-01-26,1955,"Temple, ","Concerto for Violin and Violoncello in A Minor, op. 102",Paul Hindemith;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Willi Boskovsky;Emanuel Brabec;
1955-01-27,1955,"Stadtcasino, Basel, Switzerland","Concerto for Violin and Violoncello in A Minor, op. 102",Paul Hindemith;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Willi Boskovsky;Emanuel Brabec;
1955-01-28,1955,"Tonhalle Zürich, ","Concerto for Violin and Violoncello in A Minor, op. 102",Paul Hindemith;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Emanuel Brabec;Willi Boskovsky;
1955-01-29,1955,"Deutsches Museum, ","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-01-30,1955,"Kongreßhaus Frankfurt, ","Concerto for Violin in D Major, op. 77",Johann Sebastian Bach;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-01,1955,"Centre for Fine Arts, Brussels, Belgium","Concerto for Violin and Violoncello in A Minor, op. 102",Wolfgang Amadeus Mozart;Johannes Brahms;Franz Schubert;,violin,Rafael Kubelik;Emanuel Brabec;Willi Boskovsky;
1955-02-03,1955,"Margriethalle, ","Concerto for Violin and Violoncello in A Minor, op. 102",Carl Maria von Weber;Johannes Brahms;Antonín Dvořák;Johann Strauß II.;,violin,Rafael Kubelik;Willi Boskovsky;Emanuel Brabec;
1955-02-04,1955,"Die Glocke, ","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-05,1955,"Musikhalle Hamburg, ","Concerto for Violin in D Major, op. 77",Johann Sebastian Bach;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-06,1955,"Oetker-Halle, ","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-07,1955,"Stadthalle, ","Concerto for Violin in D Major, op. 77",Paul Hindemith;Johannes Brahms;Antonín Dvořák;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-08,1955,"Capitol Im Westfalenhaus, ","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-09,1955,"Halle Höhenpark Killesberg, ","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-02-10,1955,"Exhibition Hall, ","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-03-12,1955,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Bedřich Smetana;Antonín Dvořák;Antonín Dvořák;,violin,Rafael Kubelik;Ludmila Bertlova;
1955-08-24,1955,"Small Festival Hall, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Antonín Dvořák;,violin,Rafael Kubelik;Wolfgang Schneiderhan;
1955-11-01,1955,"Theater an der Wien, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Volkmar Andreae;Singverein der Gesellschaft der Musikfreunde in Wien;Alfred Brendel;Hilde Güden;Wolfgang Schneiderhan;
1956-03-18,1956,"Palais De La Foire, ","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Rafael Kubelik;Walter Barylli;
1956-04-19,1956,"Asahi Kaikan Hall Fukuoka, ","Concerto for Violin and Violoncello in A Minor, op. 102",Luigi Cherubini;Johannes Brahms;Paul Hindemith;Franz Schubert;Felix Mendelssohn-Bartholdy;Franz Schubert;,violin,Paul Hindemith;Emanuel Brabec;Willi Boskovsky;
1956-04-21,1956,"Takarazuka Theater, ","Concerto for Violin and Violoncello in A Minor, op. 102",Luigi Cherubini;Johannes Brahms;Paul Hindemith;Franz Schubert;Felix Mendelssohn-Bartholdy;Johann Strauß I.;,violin,Paul Hindemith;Willi Boskovsky;Emanuel Brabec;
1956-04-24,1956,"Hibiya Open-Air Concert Hall, ","Concerto for Violin and Violoncello in A Minor, op. 102",Luigi Cherubini;Johannes Brahms;Paul Hindemith;Franz Schubert;Felix Mendelssohn-Bartholdy;Johann Strauß II.;Johann Strauß I.;,violin,Paul Hindemith;Willi Boskovsky;Emanuel Brabec;
1956-04-26,1956,"Takarazuka Theatre Tokyo, ","Concerto for Violin and Violoncello in A Minor, op. 102",Luigi Cherubini;Johannes Brahms;Paul Hindemith;Franz Schubert;Felix Mendelssohn-Bartholdy;Johann Strauß II.;,violin,Paul Hindemith;Emanuel Brabec;Willi Boskovsky;
1956-08-12,1956,"Small Festival Hall, ","Concerto for Violin and Violoncello in A Minor, op. 102",Wolfgang Amadeus Mozart;Johannes Brahms;Franz Schubert;,violin,Karl Böhm;Wolfgang Schneiderhan;Enrico Mainardi;
1956-08-26,1956,"Small Festival Hall, ","Konzert für Violine in a-Moll, op. 53",Bohuslav Martinú;Antonín Dvořák;Peter Iljitsch Tschaikowsky;,violin,Rafael Kubelik;Ludmila Bertlova;
1957-02-16,1957,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Karl Böhm;Emanuel Brabec;Walter Barylli;
1957-02-17,1957,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Karl Böhm;Emanuel Brabec;Walter Barylli;
1957-03-16,1957,"Victoria Hall, Geneva, Switzerland","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Karl Böhm;Willi Boskovsky;
1957-03-17,1957,"Théatre De Beaulieu, ","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Karl Böhm;Willi Boskovsky;
1958-03-18,1958,"Deutsches Museum, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-19,1958,"Exhibition Hall, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-20,1958,"Liederhalle, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-21,1958,"Stadthalle Freiburg, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-22,1958,"Black Forest Hall Karlsruhe, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-23,1958,"Rhein-Main-Halle, ","Concerto for Violin in D Major, op. 77",Ludwig van Beethoven;Johannes Brahms;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-24,1958,"Stadthalle Kassel, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-03-25,1958,"Rheinhalle, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Karl Böhm;Lord Yehudi Menuhin;
1958-05-11,1958,"Musikhalle Hamburg, ","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Karl Böhm;André Navarra;Christian Ferras;
1958-08-24,1958,"Small Festival Hall, ","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;Ludwig van Beethoven;Johann Sebastian Bach;,violin,Dimitri Mitropoulos;Zino Francescatti;
1959-08-28,1959,"Kurhaus Bad Gastein, ","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Karl Münchinger;Willi Boskovsky;
1960-08-14,1960,"Mozarteum, Salzburg, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Carl Schuricht;Willi Boskovsky;
1961-05-28,1961,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Richard Strauss;,violin,Karl Böhm;Willi Boskovsky;Wolfgang Schneiderhan;
1961-06-03,1961,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Anton von Webern;Robert Schumann;Johannes Brahms;,violin,Herbert von Karajan;David Oistrach;
1961-06-04,1961,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Anton von Webern;Robert Schumann;Johannes Brahms;,violin,Herbert von Karajan;David Oistrach;
